	icao24	callsign	origin_country	time_position	last_contact	long	lat	baro_altitude	on_ground	velocity	true_track	vertical_rate	sensors	geo_altitude	squawk	spi	position_source	x	y	rot_angle	url
0	39822c	FHARM   	France	1676208999	1676208999	2.1102	48.7336	182.88	False	50.82	248.63	2.6	No Data	396.24	No Data	False	0	234906.3894719659	6229779.184053133	-248.63	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
1	4952ca	TAP569  	Portugal	1676208999	1676208999	2.646	48.9981	11277.6	False	230.49	235.0	0.0	No Data	11513.82	1125	False	0	294551.3726390019	6274539.009908417	-235.0	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
2	461981	FSF196Y 	Finland	1676208999	1676208999	2.3676	48.9496	106.68	False	60.19	67.38	-2.6	No Data	335.28	No Data	False	0	263560.02640215453	6266313.891353158	-67.38	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
3	0a0075		Algeria	1676208997	1676208998	2.3922	48.7256	45.72	False	82.19	73.27	15.61	No Data	266.7	No Data	False	0	266298.48587566905	6228429.06617666	-73.27	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
4	4a08e7	ROT383Q 	Romania	1676208999	1676208999	2.2584	49.141	2499.36	False	131.5	249.86	-2.28	No Data	2727.96	1000	False	0	251403.93800752904	6298820.097192204	-249.86	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
5	4cc0df	BBD952  	Iceland	1676208998	1676208999	3.3345	48.8999	5067.3	False	184.59	102.72	16.91	No Data	5318.76	No Data	False	0	371194.84205017076	6257893.554827392	-102.72	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
6	4bc84a	PGT5HV  	Turkey	1676208999	1676208999	2.042	48.6219	1043.94	False	95.79	61.09	-0.98	No Data	1257.3	No Data	False	0	227314.40019986464	6210947.563259276	-61.09	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
7	397c1c	FJGEP   	France	1676208997	1676208998	2.8534	48.9387	53.34	False	48.87	0.0	2.6	No Data	274.32	No Data	False	0	317639.03502952686	6264466.460120152	-0.0	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
8	4b0f50	HUE12   	Switzerland	1676208999	1676208999	2.1959	48.9006	792.48	False	89.34	48.97	1.63	No Data	1005.84	No Data	False	0	244446.46983294946	6258012.092958869	-48.97	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
9	399452	VLJ994T 	France	1676208995	1676208998	3.3642	48.6283	2133.6	False	143.04	313.11	0.0	No Data	2354.58	1000	False	0	374501.03092673095	6212025.419319468	-313.11	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
